Categoría: Todas las categorías

Semana,еда: (Ucrania),їжа: (Ucrania)
2019-07-28,77,12
2019-08-04,75,12
2019-08-11,91,14
2019-08-18,79,17
2019-08-25,80,9
2019-09-01,72,13
2019-09-08,81,12
2019-09-15,81,13
2019-09-22,87,13
2019-09-29,72,17
2019-10-06,73,21
2019-10-13,93,19
2019-10-20,78,23
2019-10-27,87,16
2019-11-03,80,24
2019-11-10,74,18
2019-11-17,84,22
2019-11-24,72,29
2019-12-01,74,20
2019-12-08,75,25
2019-12-15,73,23
2019-12-22,74,21
2019-12-29,82,15
2020-01-05,76,12
2020-01-12,90,19
2020-01-19,80,20
2020-01-26,91,26
2020-02-02,77,16
2020-02-09,94,20
2020-02-16,85,21
2020-02-23,82,18
2020-03-01,90,21
2020-03-08,76,17
2020-03-15,74,17
2020-03-22,80,19
2020-03-29,87,19
2020-04-05,88,24
2020-04-12,81,18
2020-04-19,75,22
2020-04-26,80,21
2020-05-03,84,19
2020-05-10,77,20
2020-05-17,75,19
2020-05-24,68,18
2020-05-31,73,15
2020-06-07,76,17
2020-06-14,75,13
2020-06-21,78,13
2020-06-28,83,11
2020-07-05,79,13
2020-07-12,72,15
2020-07-19,87,14
2020-07-26,79,13
2020-08-02,84,17
2020-08-09,85,15
2020-08-16,82,10
2020-08-23,88,12
2020-08-30,69,11
2020-09-06,71,11
2020-09-13,84,16
2020-09-20,86,15
2020-09-27,73,19
2020-10-04,73,23
2020-10-11,79,20
2020-10-18,87,19
2020-10-25,75,13
2020-11-01,81,22
2020-11-08,76,26
2020-11-15,82,28
2020-11-22,84,31
2020-11-29,87,27
2020-12-06,80,20
2020-12-13,80,24
2020-12-20,80,21
2020-12-27,88,18
2021-01-03,90,11
2021-01-10,90,19
2021-01-17,88,23
2021-01-24,88,22
2021-01-31,89,27
2021-02-07,95,23
2021-02-14,89,23
2021-02-21,88,18
2021-02-28,89,18
2021-03-07,80,18
2021-03-14,89,27
2021-03-21,89,16
2021-03-28,85,21
2021-04-04,80,22
2021-04-11,79,22
2021-04-18,90,20
2021-04-25,87,20
2021-05-02,81,18
2021-05-09,84,21
2021-05-16,87,23
2021-05-23,80,17
2021-05-30,79,12
2021-06-06,75,15
2021-06-13,74,12
2021-06-20,78,16
2021-06-27,86,15
2021-07-04,86,14
2021-07-11,84,16
2021-07-18,89,13
2021-07-25,84,11
2021-08-01,88,15
2021-08-08,78,14
2021-08-15,86,14
2021-08-22,79,17
2021-08-29,76,12
2021-09-05,76,13
2021-09-12,76,13
2021-09-19,72,19
2021-09-26,73,19
2021-10-03,81,22
2021-10-10,71,22
2021-10-17,89,25
2021-10-24,91,21
2021-10-31,82,19
2021-11-07,78,27
2021-11-14,77,26
2021-11-21,80,29
2021-11-28,79,26
2021-12-05,76,26
2021-12-12,70,25
2021-12-19,98,28
2021-12-26,98,25
2022-01-02,100,19
2022-01-09,97,24
2022-01-16,85,23
2022-01-23,94,27
2022-01-30,88,32
2022-02-06,85,30
2022-02-13,82,28
2022-02-20,69,22
2022-02-27,69,18
2022-03-06,77,17
2022-03-13,72,24
2022-03-20,72,26
2022-03-27,66,26
2022-04-03,65,29
2022-04-10,69,30
2022-04-17,66,27
2022-04-24,56,21
2022-05-01,69,27
2022-05-08,64,27
2022-05-15,71,26
2022-05-22,65,25
2022-05-29,62,22
2022-06-05,78,20
2022-06-12,85,24
2022-06-19,75,21
2022-06-26,75,22
2022-07-03,66,26
2022-07-10,80,23
2022-07-17,69,23
2022-07-24,66,23
2022-07-31,75,28
2022-08-07,72,25
2022-08-14,79,23
2022-08-21,72,21
2022-08-28,62,24
2022-09-04,63,26
2022-09-11,60,26
2022-09-18,60,32
2022-09-25,65,34
2022-10-02,65,35
2022-10-09,65,38
2022-10-16,65,45
